commit	Windows 10 / Chrome 66 / NVIDIA GeForce GTX 970	Windows 10 / Firefox 59 / NVIDIA GeForce GTX 970	Windows 8 / Chrome 66 / Intel(R) HD Graphics 4600  NVIDIA GeForce GTX 860M	Windows 8 / Firefox 59 / Intel(R) HD Graphics 4600  NVIDIA GeForce GTX 860M	Mac OS X 10 / Chrome 66 / AMD Radeon R9 M295X	Mac OS X 10 / Firefox 59 / AMD Radeon R9 M295X	Mac OS X 10 / Chrome 66 / Intel HD Graphics 5000	Mac OS X 10 / Firefox 59 / Intel HD Graphics 5000
0	0	82.50469845	0	0	0.01220554132	0	0	0.01220554132
2	20.49689441	0.3891050584
7	18.21086262	0.4859086492	91.21030043	80.55080722	0	0	0	0.09756097561
8	18.79460745	0.09756097561	83.49451966	83.00978928	0	0	0	0
9	17.28594507	0	83.51046699	83.01542544	0	0	0	-0.09775171065
40	18.73015873	0	75.68850902	67.98999687	0	0	0	0
45	7.330316742	0.3891050584	76.0355722	69.22152089	0	0	0	-0.09775171065
46	8.078994614	0.3891050584	75.86613245	68.0299719	0	0	0	0.09756097561
47	7.330316742	0.1949317739	76.71139413	67.55386565	0	0	0	0.09756097561
49	7.330316742	0.2921129503	75.60743211	66.66666667	0	0	0	0
73	8.977777778	0.09756097561	80.13193636	74.63462968	0.09756097561	0	0	0.09756097561
78	8.571428571	0.09756097561	80.19725392	74.70980489	0	0	0	-0.09775171065
